time,value
2024-01-02 04:51:01.811691330,100.0
2024-01-03 08:53:05.204822946,99.8171527841012
2024-01-04 13:30:06.880017513,99.81217608340108
2024-01-04 16:51:33.993339101,99.94993949023002
2024-01-04 17:53:48.089006070,99.96409854016484
2024-01-05 11:19:43.023284575,100.22950223967216
2024-01-06 04:14:53.325276502,100.41408266998378
2024-01-07 17:44:22.910599440,100.33441334442605
2024-01-07 18:41:28.419917767,100.36592484235072
2024-01-08 07:14:59.848488431,100.34933751710483
2024-01-08 08:05:42.696942096,100.3364324978202
2024-01-08 21:09:48.517672731,100.40038548566018
2024-01-09 17:56:21.859317311,100.10163071018155
2024-01-09 22:34:55.715739595,100.25517625145982
2024-01-10 13:21:40.216366574,100.16949162849774
2024-01-10 15:12:23.220931866,100.24857232061616
2024-01-10 16:18:19.358883122,100.26007515627703
2024-01-10 20:05:15.100415241,100.43243990580727
2024-01-11 06:54:06.909111231,100.35437222740082
2024-01-11 11:51:27.875355933,100.33472864472562
2024-01-12 02:49:34.948387881,100.45708572043348
2024-01-12 05:30:33.447667453,100.27345165662668
2024-01-13 03:33:53.763078493,100.55881658955502
2024-01-13 18:17:23.872369348,100.9257419567757
2024-01-14 02:09:34.266220549,101.12137349143894
2024-01-14 07:09:52.411933219,101.22846069108861
2024-01-14 12:36:15.822510904,101.22861509713799
2024-01-14 13:31:45.555263708,101.29756601356384
2024-01-14 15:41:05.668652688,101.38899461171157
2024-01-14 23:54:31.512161991,101.47652465821128
2024-01-15 04:34:22.498364095,101.49262368379905
2024-01-15 19:44:36.234610907,101.46795210625548
2024-01-16 04:14:43.029715283,101.30499306678806
2024-01-16 07:06:01.603740957,101.42527714274169
2024-01-16 12:38:00.619867279,101.17119957099555
2024-01-16 20:19:55.870913909,101.14275746633535
2024-01-17 00:27:29.472128021,101.17475741661951
2024-01-17 04:19:16.036871173,101.27822903422985
2024-01-17 14:52:05.151141890,101.61937273218686
2024-01-17 18:25:53.270567614,101.73137610601802
2024-01-18 10:26:09.215328991,101.72232959364267
2024-01-19 03:07:34.539534814,101.93652683769326
2024-01-19 16:08:06.922022910,101.73678562439596
2024-01-19 17:00:41.746655664,101.8112035705575
2024-01-20 06:37:13.462730087,101.82584120494188
2024-01-20 22:52:20.863805862,101.73541253078623
2024-01-21 12:20:12.976748822,101.65585604037082
2024-01-21 15:41:51.098743035,101.66129874764817
2024-01-21 19:32:55.542195791,101.63327648215159
2024-01-21 21:32:15.333391220,101.81249289666484
2024-01-22 01:47:23.837139491,101.74780583150668
2024-01-22 02:02:37.074616393,101.74954434259278
2024-01-22 04:03:06.870928591,101.75848628455536
2024-01-22 19:49:57.326613028,101.81805380972996
2024-01-24 19:46:53.997528213,102.00115577970875
2024-01-25 02:32:38.843119402,101.95725335715613
2024-01-25 05:57:09.358228557,101.91136115074447
2024-01-25 10:43:32.428397349,101.82714035316367
2024-01-25 15:03:42.412428137,101.6766523326728
2024-01-25 16:37:02.584087396,101.69646884311432
2024-01-26 05:37:02.229913849,101.93090747560471
2024-01-26 22:07:38.900385802,101.86994833934442
2024-01-27 16:13:16.254829571,101.80589773010509
2024-01-30 07:56:23.191606393,101.89415840692244
2024-01-31 09:13:10.913748749,101.85973829878562
2024-02-01 04:57:29.118058158,101.58969882906959
2024-02-01 17:28:47.950079547,101.89265139697518
2024-02-02 00:35:24.995474653,101.98044465730247
2024-02-02 01:07:25.389105596,101.95457982401612
2024-02-02 12:36:10.629496228,102.04907827496812
2024-02-02 20:03:34.378875923,102.01160239495145
2024-02-03 14:09:18.310280657,102.02796897902931
2024-02-04 14:29:27.978586606,102.21037477593987
2024-02-04 18:28:33.351381528,102.3260403071754
2024-02-04 19:04:22.582537528,102.39083784773712
2024-02-05 06:10:14.903094831,102.7325008638521
2024-02-06 12:48:42.621165933,102.7645052570959
2024-02-06 22:39:52.914139418,102.71485501595136
2024-02-08 00:14:09.646807895,102.8304709634373
2024-02-08 09:16:19.883806575,102.8823745416519
2024-02-09 01:02:24.426664791,102.78153550577073
2024-02-09 04:30:19.852035131,102.73199398785673
2024-02-09 06:07:06.677271362,102.7928067941922
2024-02-09 07:49:41.849245742,102.91341148535867
2024-02-09 09:14:25.725386585,102.90394270025931
2024-02-09 09:53:47.604123649,102.87819644681818
2024-02-10 06:29:44.429996210,102.88139127965262
2024-02-10 11:52:44.597942941,102.77698860006629
2024-02-10 16:30:45.468490073,102.76197062673847
2024-02-11 03:43:55.711744418,102.87706680441713
2024-02-11 05:58:45.665820643,102.87845453100202
2024-02-12 04:59:55.899308634,103.27488425617986
2024-02-12 20:30:08.400212461,103.3599426781767
2024-02-13 00:27:11.663079691,103.42456659247537
2024-02-13 02:51:37.229460580,103.4204881232251
2024-02-13 09:13:57.276580981,103.61956165297231
2024-02-13 12:53:25.970156633,103.50715473942495
2024-02-13 13:47:57.881948782,103.49480415692064
2024-02-13 19:50:31.665241913,103.36149323819889
2024-02-14 22:51:52.819237001,103.68350535488176
